Geographic location report
All time
Location,Bid adj.,Added/Excluded,Location type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
Canada, --,None,Physical location,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Macedonia (FYROM), --,None,Physical location,4,265,1.51%,NOK,0.25,1.00,0.00,0.00,0.00%
Cameroon, --,None,Physical location,13,455,2.86%,NOK,0.49,6.37,2.00,3.18,15.38%
Bosnia and Herzegovina, --,None,Physical location,1,133,0.75%,NOK,0.11,0.11,0.00,0.00,0.00%
Kosovo, --,None,Physical location,2,180,1.11%,NOK,0.10,0.20,0.00,0.00,0.00%
China, --,None,Physical location,0,2,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Palau, --,None,Physical location,0,11,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Angola, --,None,Physical location,4,129,3.10%,NOK,0.52,2.07,0.00,0.00,0.00%
Belize, --,None,Physical location,1,75,1.33%,NOK,0.29,0.29,1.00,0.29,100.00%
Timor-Leste, --,None,Physical location,1,47,2.13%,NOK,0.02,0.02,0.00,0.00,0.00%
Guatemala, --,None,Physical location,4,213,1.88%,NOK,0.27,1.07,0.00,0.00,0.00%
Fiji, --,None,Physical location,0,41,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Namibia, --,None,Physical location,1,85,1.18%,NOK,0.47,0.47,0.00,0.00,0.00%
Turks and Caicos Islands, --,None,Physical location,0,6,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Puerto Rico, --,None,Physical location,0,16,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Serbia, --,None,Physical location,3,375,0.80%,NOK,0.55,1.64,0.00,0.00,0.00%
Croatia, --,None,Physical location,0,14,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Lithuania, --,None,Physical location,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Moldova, --,None,Physical location,0,7,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Mayotte, --,None,Physical location,0,2,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Guam, --,None,Physical location,1,17,5.88%,NOK,0.04,0.04,0.00,0.00,0.00%
Sint Maarten, --,None,Physical location,0,19,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Liberia, --,None,Physical location,8,262,3.05%,NOK,0.12,0.98,0.00,0.00,0.00%
Bangladesh, --,None,Physical location,29,921,3.15%,NOK,0.56,16.37,5.00,3.27,17.24%
Indonesia, --,None,Physical location,2,49,4.08%,NOK,0.32,0.64,0.00,0.00,0.00%
Saudi Arabia, --,None,Physical location,1,74,1.35%,NOK,0.42,0.42,0.00,0.00,0.00%
Sri Lanka, --,None,Physical location,7,166,4.22%,NOK,0.22,1.54,2.00,0.77,28.57%
Nicaragua, --,None,Physical location,1,194,0.52%,NOK,0.01,0.01,0.00,0.00,0.00%
Costa Rica, --,None,Physical location,1,62,1.61%,NOK,0.43,0.43,0.00,0.00,0.00%
Uruguay, --,None,Physical location,1,36,2.78%,NOK,0.74,0.74,1.00,0.74,100.00%
Kuwait, --,None,Physical location,1,29,3.45%,NOK,0.81,0.81,0.00,0.00,0.00%
Russia, --,None,Physical location,0,6,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Bulgaria, --,None,Physical location,0,31,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Central African Republic, --,None,Physical location,0,8,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Panama, --,None,Physical location,2,47,4.26%,NOK,0.47,0.95,0.00,0.00,0.00%
Jordan, --,None,Physical location,11,711,1.55%,NOK,0.21,2.27,0.00,0.00,0.00%
Djibouti, --,None,Physical location,0,37,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Nigeria, --,None,Physical location,9,516,1.74%,NOK,0.53,4.73,0.00,0.00,0.00%
Poland, --,None,Physical location,0,6,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Germany, --,None,Physical location,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Estonia, --,None,Physical location,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Curacao, --,None,Physical location,0,45,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Mozambique, --,None,Physical location,3,124,2.42%,NOK,0.40,1.19,0.00,0.00,0.00%
Myanmar (Burma), --,None,Physical location,3,73,4.11%,NOK,0.48,1.44,1.00,1.44,33.33%
Swaziland, --,None,Physical location,0,27,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Cayman Islands, --,None,Physical location,0,2,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Benin, --,None,Physical location,5,388,1.29%,NOK,0.13,0.67,2.00,0.33,40.00%
Malaysia, --,None,Physical location,0,16,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Saint Lucia, --,None,Physical location,0,22,0.00%,NOK, --,0.00,0.00,0.00,0.00%
The Gambia, --,None,Physical location,5,161,3.11%,NOK,0.14,0.71,1.00,0.71,20.00%
Maldives, --,None,Physical location,0,14,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Martinique, --,None,Physical location,0,20,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Philippines, --,None,Physical location,3,172,1.74%,NOK,0.24,0.73,0.00,0.00,0.00%
Democratic Republic of the Congo, --,None,Physical location,5,163,3.07%,NOK,0.79,3.93,1.00,3.93,20.00%
Paraguay, --,None,Physical location,5,222,2.25%,NOK,0.48,2.42,1.00,2.42,20.00%
Belarus, --,None,Physical location,0,8,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Cyprus, --,None,Physical location,0,7,0.00%,NOK, --,0.00,0.00,0.00,0.00%
British Virgin Islands, --,None,Physical location,0,2,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Bolivia, --,None,Physical location,14,697,2.01%,NOK,0.28,3.91,2.00,1.95,14.29%
Sudan, --,None,Physical location,8,287,2.79%,NOK,0.39,3.10,1.00,3.10,12.50%
Trinidad and Tobago, --,None,Physical location,0,86,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Qatar, --,None,Physical location,1,27,3.70%,NOK,0.41,0.41,0.00,0.00,0.00%
South Africa, --,None,Physical location,0,59,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Dominican Republic, --,None,Physical location,20,"1,039",1.92%,NOK,0.32,6.50,5.00,1.30,25.00%
Kazakhstan, --,None,Physical location,1,102,0.98%,NOK,0.06,0.06,0.00,0.00,0.00%
Bermuda, --,None,Physical location,0,3,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Algeria, --,None,Physical location,103,"6,665",1.55%,NOK,0.21,21.43,6.00,3.57,5.83%
Senegal, --,None,Physical location,35,"1,050",3.33%,NOK,0.23,7.93,3.00,2.64,8.57%
Saint Vincent and the Grenadines, --,None,Physical location,0,12,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Burundi, --,None,Physical location,4,34,11.76%,NOK,0.10,0.39,1.00,0.39,25.00%
Slovakia, --,None,Physical location,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Azerbaijan, --,None,Physical location,0,124,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Ethiopia, --,None,Physical location,1,134,0.75%,NOK,0.48,0.48,0.00,0.00,0.00%
Romania, --,None,Physical location,0,19,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Singapore, --,None,Physical location,1,3,33.33%,NOK,0.69,0.69,0.00,0.00,0.00%
Kiribati, --,None,Physical location,0,7,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Kyrgyzstan, --,None,Physical location,1,33,3.03%,NOK,0.01,0.01,0.00,0.00,0.00%
Jamaica, --,None,Physical location,0,165,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Syria, --,None,Physical location,15,893,1.68%,NOK,0.18,2.64,0.00,0.00,0.00%
Haiti, --,None,Physical location,24,894,2.68%,NOK,0.26,6.29,4.00,1.57,16.67%
Guinea-Bissau, --,None,Physical location,1,11,9.09%,NOK,0.44,0.44,0.00,0.00,0.00%
Japan, --,None,Physical location,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Bhutan, --,None,Physical location,0,14,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Cambodia, --,None,Physical location,10,129,7.75%,NOK,0.26,2.62,1.00,2.62,10.00%
Barbados, --,None,Physical location,0,17,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Marshall Islands, --,None,Physical location,0,2,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Equatorial Guinea, --,None,Physical location,0,23,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Federated States of Micronesia, --,None,Physical location,0,10,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Uganda, --,None,Physical location,3,350,0.86%,NOK,0.29,0.88,0.00,0.00,0.00%
Antigua and Barbuda, --,None,Physical location,1,23,4.35%,NOK,0.04,0.04,0.00,0.00,0.00%
Nauru, --,None,Physical location,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Armenia, --,None,Physical location,0,33,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Burkina Faso, --,None,Physical location,8,193,4.15%,NOK,0.21,1.70,1.00,1.70,12.50%
Rwanda, --,None,Physical location,1,111,0.90%,NOK,1.37,1.37,1.00,1.37,100.00%
India, --,None,Physical location,150,"6,409",2.34%,NOK,0.44,66.27,20.00,3.31,13.33%
Aruba, --,None,Physical location,0,12,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Sweden, --,None,Physical location,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
El Salvador, --,None,Physical location,0,194,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Western Sahara, --,None,Physical location,0,78,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Madagascar, --,None,Physical location,1,20,5.00%,NOK,0.14,0.14,0.00,0.00,0.00%
Tonga, --,None,Physical location,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Cook Islands, --,None,Physical location,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Samoa, --,None,Physical location,0,2,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Tunisia, --,None,Physical location,20,"1,367",1.46%,NOK,0.30,5.92,1.00,5.92,5.00%
Chile, --,None,Physical location,1,119,0.84%,NOK,0.03,0.03,0.00,0.00,0.00%
Gabon, --,None,Physical location,0,148,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Zambia, --,None,Physical location,12,343,3.50%,NOK,0.48,5.76,4.00,1.44,33.33%
Lesotho, --,None,Physical location,0,23,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Ukraine, --,None,Physical location,0,56,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Zimbabwe, --,None,Physical location,2,267,0.75%,NOK,0.28,0.57,0.00,0.00,0.00%
France, --,None,Physical location,0,3,0.00%,NOK, --,0.00,0.00,0.00,0.00%
France, --,None,Location of interest,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Guyana, --,None,Physical location,2,178,1.12%,NOK,0.16,0.32,0.00,0.00,0.00%
Pakistan, --,None,Physical location,56,"5,545",1.01%,NOK,0.32,17.88,1.00,17.88,1.79%
Lebanon, --,None,Physical location,21,"1,702",1.23%,NOK,0.26,5.38,2.00,2.69,9.52%
Mongolia, --,None,Physical location,4,68,5.88%,NOK,0.25,0.98,0.00,0.00,0.00%
Laos, --,None,Physical location,1,69,1.45%,NOK,0.11,0.11,0.00,0.00,0.00%
Cape Verde, --,None,Physical location,3,65,4.62%,NOK,0.03,0.09,0.00,0.00,0.00%
Sao Tome and Principe, --,None,Physical location,0,4,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Morocco, --,None,Physical location,70,"4,069",1.72%,NOK,0.35,24.31,5.00,4.86,7.14%
Montenegro, --,None,Physical location,0,33,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Cuba, --,None,Physical location,4,139,2.88%,NOK,0.29,1.16,1.00,1.16,25.00%
Vanuatu, --,None,Physical location,0,2,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Ghana, --,None,Physical location,12,630,1.90%,NOK,0.57,6.84,0.00,0.00,0.00%
United Arab Emirates, --,None,Physical location,0,51,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Venezuela, --,None,Physical location,8,589,1.36%,NOK,0.12,0.93,0.00,0.00,0.00%
Chad, --,None,Physical location,0,21,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Mauritania, --,None,Physical location,4,185,2.16%,NOK,0.04,0.18,0.00,0.00,0.00%
Turkey, --,None,Physical location,9,663,1.36%,NOK,0.28,2.52,0.00,0.00,0.00%
Mauritius, --,None,Physical location,0,35,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Cote d'Ivoire, --,None,Physical location,2,164,1.22%,NOK,0.28,0.55,0.00,0.00,0.00%
Somalia, --,None,Physical location,8,438,1.83%,NOK,0.19,1.55,0.00,0.00,0.00%
Georgia, --,None,Physical location,0,45,0.00%,NOK, --,0.00,0.00,0.00,0.00%
French Guiana, --,None,Physical location,0,25,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Niger, --,None,Physical location,2,156,1.28%,NOK,0.19,0.38,1.00,0.38,50.00%
Reunion, --,None,Physical location,0,4,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Grenada, --,None,Physical location,1,16,6.25%,NOK,0.11,0.11,0.00,0.00,0.00%
Faroe Islands, --,None,Physical location,0,3,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Slovenia, --,None,Physical location,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Bahrain, --,None,Physical location,0,18,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Yemen, --,None,Physical location,11,400,2.75%,NOK,0.35,3.81,2.00,1.91,18.18%
French Polynesia, --,None,Physical location,0,8,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Greenland, --,None,Physical location,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Dominica, --,None,Physical location,0,11,0.00%,NOK, --,0.00,0.00,0.00,0.00%
The Bahamas, --,None,Physical location,0,7,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Israel, --,None,Physical location,0,2,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Libya, --,None,Physical location,18,855,2.11%,NOK,0.17,3.11,3.00,1.04,16.67%
Guinea, --,None,Physical location,8,227,3.52%,NOK,0.24,1.91,1.00,1.91,12.50%
Guadeloupe, --,None,Physical location,0,32,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Portugal, --,None,Physical location,0,31,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Seychelles, --,None,Physical location,0,11,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Colombia, --,None,Physical location,8,442,1.81%,NOK,0.58,4.61,2.00,2.30,25.00%
Anguilla, --,None,Physical location,0,3,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Afghanistan, --,None,Physical location,0,173,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Botswana, --,None,Physical location,0,69,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Saint Kitts and Nevis, --,None,Physical location,0,3,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Sierra Leone, --,None,Physical location,0,84,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Turkmenistan, --,None,Physical location,0,17,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Czechia, --,None,Physical location,0,3,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Mali, --,None,Physical location,15,314,4.78%,NOK,0.31,4.60,3.00,1.53,20.00%
United States, --,None,Location of interest,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Kenya, --,None,Physical location,2,98,2.04%,NOK,0.64,1.29,0.00,0.00,0.00%
Thailand, --,None,Physical location,0,6,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Papua New Guinea, --,None,Physical location,1,27,3.70%,NOK,0.44,0.44,0.00,0.00,0.00%
Peru, --,None,Physical location,11,274,4.01%,NOK,0.29,3.16,1.00,3.16,9.09%
Solomon Islands, --,None,Physical location,0,21,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Hungary, --,None,Physical location,0,2,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Tajikistan, --,None,Physical location,1,28,3.57%,NOK,0.21,0.21,0.00,0.00,0.00%
Brazil, --,None,Physical location,15,489,3.07%,NOK,0.43,6.45,1.00,6.45,6.67%
Brazil, --,None,Location of interest,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
U.S. Virgin Islands, --,None,Physical location,0,1,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Argentina, --,None,Physical location,20,"1,686",1.19%,NOK,0.15,2.90,0.00,0.00,0.00%
American Samoa, --,None,Physical location,0,5,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Ecuador, --,None,Physical location,13,506,2.57%,NOK,0.18,2.28,1.00,2.28,7.69%
New Caledonia, --,None,Physical location,0,3,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Spain, --,None,Physical location,0,7,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Palestine, --,None,Physical location,3,109,2.75%,NOK,0.33,1.00,0.00,0.00,0.00%
Uzbekistan, --,None,Physical location,2,85,2.35%,NOK,0.06,0.11,0.00,0.00,0.00%
Malawi, --,None,Physical location,0,40,0.00%,NOK, --,0.00,0.00,0.00,0.00%
Egypt, --,None,Physical location,80,"5,299",1.51%,NOK,0.26,20.42,6.00,3.40,7.50%
Tanzania, --,None,Physical location,10,808,1.24%,NOK,0.43,4.27,2.00,2.14,20.00%
Iraq, --,None,Physical location,56,"4,410",1.27%,NOK,0.20,11.41,2.00,5.71,3.57%
