,score,Did you find the point system motivating, engaging, or competitive?
1,6,yes. I did. 
2,6,Not for me. Gamification with points is too simple 
3,6,kdbfk
4,6,Engaging

5,6,I haven’t received points 
6,6,it didn’t give me much as I didn’t set any goals. but in general, when I’ve used similar applications with point systems, I don’t find them useful at all.

7,6,Internett points are important!

